"Sample_ID","Feature_1","Feature_2","Feature_3","Feature_4","Feature_5","Feature_6","Feature_7","Feature_8","Feature_9","Feature_10"
"Sample_1",28.8,89,14.3,66.5,24.4,60,64.8,31.2,50.2,84
"Sample_2",78.8,69.3,41.5,9.5,66.8,33.3,32,40.9,35.4,31.2
"Sample_3",40.9,64.1,41.4,38.4,41.8,48.9,30.8,1,65,70.8
"Sample_4",88.3,99.4,36.9,27.4,78.8,95.4,22,18.4,37.5,26.5
"Sample_5",94,65.6,15.2,81.5,10.3,48.3,36.9,84.3,35.5,59.4
"Sample_6",4.6,70.9,13.9,44.9,43.5,89,98.4,23.1,53.4,48.1
"Sample_7",52.8,54.4,23.3,81,98.5,91.4,15.4,23.9,74,26.5
"Sample_8",89.2,59.4,46.6,81.2,89.3,60.9,9.1,7.7,22.1,56.5
"Sample_9",55.1,28.9,26.6,79.4,88.6,41.1,14.2,24.6,41.3,91.3
"Sample_10",45.7,14.7,85.8,44,17.5,14.7,69,73.2,26.6,90.2
"Sample_11",95.7,96.3,4.6,75.4,13.1,93.5,61.9,84.7,63,27.4
"Sample_12",45.3,90.2,44.2,62.9,65.3,30.1,89.1,49.8,18.4,32.1
"Sample_13",67.8,69.1,79.9,71,34.4,6.1,67.3,38.8,86.4,98.6
"Sample_14",57.3,79.5,12.2,0.1,65.7,94.8,73.7,24.6,74.7,62
"Sample_15",10.3,2.5,56.1,47.5,32,72.1,52.1,11.1,66.8,93.7
"Sample_16",90,47.8,20.7,22,18.8,14.2,66,39,61.8,46.7
"Sample_17",24.6,75.8,12.8,38,78.2,54.9,82.2,57.2,37.2,40.7
"Sample_18",4.2,21.6,75.3,61.3,9.4,95.4,78.6,21.7,53,65.9
"Sample_19",32.8,31.8,89.5,35.2,46.7,58.5,98,44.5,87.5,15.2
"Sample_20",95.5,23.2,37.4,11.1,51.2,40.5,43.9,21.8,58.2,57.3
